,worker_id,assignment_id
0,A15SUPIZ05ZFCD,3483FV8BEG7AXUOOJ7TJJP1VX9062G
1,A1BXEU20OCUGVZ,3T111IHZ5GEEJX77W4BW47050N0R9A
2,A1DUPOUC9RNU4L,32ZKVD547HB5OO12JYOWDFSFHOE3BC
3,A1JV64BL3WCK0G,3MH9DQ757Y0LEZMWE4CB1Z9CAENGUB
4,A1Q4ZOXZ0Y7K6I,3R6P78PK7MZ6EM77EZM1W3NAR0GGTK
5,A1S1O9ZCONEGE3,3A4NIXBJ78NINJVOGTI5NHXQT96LMU
6,A24YH95DSHXH9V,3UNH76FOCUT2NI2NZ87VHPZM39MYMI
7,A2615YW1YERQBO,333U7HK6IB39OZ1B0F7POCX4G69JD8
8,A2DVV59R1CQU6T,3HVVDCPGTGG60DS7858733UEWW5YTZ
9,A2JI5RNPPXE8QE,3K9FOBBF2J7O51GOSUX50WMQYZGLNU
10,A2JSMMELB161IW,369J354OFFY0COWVIME8LTVW7S5G69
11,A2R8IV2PWFTY00,3YDTZAI2WZ4PTM2EHF0QH87CAXT14T
12,A2WC2NO555XU3J,3RJSC4XJ12I7IGLWZ1F08VUG4G750H
13,A30KYQGABO7JER,3S96KQ6I9OS322XGC9LTQIKDE80DT7
14,A325M7UFJV4OFW,345LHZDEDZGKKNA8JP5RI5K369I3UQ
15,A32QWM7BWCSPTS,3XC1O3LBOUAM0EL8PQJH9VSIO2ETLM
16,A33AZCOKCCTUXV,34T446B1C22SH1UBEB28M10QWXRC0U
17,A3HQXCWOIQKT4F,3PJUZCGDJ8481SSBXV5WDQ509A098X
18,A3KH1OG87C8DCM,3TK8OJTYM39R4R4VMDC3RUPNQXVVP2
19,A3MHKFOJIXO7QN,3WEV0KO0OOG2N2K1N9G3GDORCPMDSI
20,A3V57BKH58EUIY,39O5D9O87VGOYTT8XYKROZYX0UO3C0
21,AA4O2W236E3FW,3EQHHY4HQUG4TKWHD343TNHWBXUG5T
22,AKZAA5LI5LPK1,3X1FV8S5JZFLREBWJUMGXLBVOLWGV0
23,ALV4DAF8DIJ37,3SLE99ER0P169H8V45J5HGXUWJABZE
24,APS21FRK7TBKW,34S9DKFK75D850NNB9MVU4OM8ZWYNI
25,AQ6IRR0EOFP8Q,3VAR3R6G1RPB8FWHZKOEAG0P49M8OA
26,ARWN6TT8EWCFJ,32ZKVD547HB5OO12JYOWDFSFI9O3BT
27,AWTGJ45ZWUCHH,3P1L2B7AD3D6NMG0T9XIFLMVO9LLO9
