model,factor,mult,threshold,reward,clicks
BasFirst,1//2,1,0.0,2.05426,0.91979
BasFirst,1//2,1,1.0,6.70657,4.4056
BasFirst,1//2,1,2.0,6.97007,5.07831
BasFirst,1//2,1,3.0,7.21729,5.57995
BasFirst,1//2,1,4.0,7.42283,5.90921
BasFirst,1//2,1,5.0,7.64072,6.34544
BasFirst,1//2,1,6.0,7.8126,6.82901
BasFirst,1//2,1,7.0,7.94566,7.3604
BasFirst,1//2,1,8.0,8.12284,8.0966
BasFirst,1//2,1,9.0,8.22031,8.89037
BasFirst,1//2,1,10.0,8.30023,9.5102
BasFirst,1//2,1,11.0,8.32343,10.2279
BasFirst,1//2,1,12.0,8.33624,10.97512
BasFirst,1//2,1,13.0,8.36424,11.68393
BasFirst,1//2,1,14.0,8.33992,12.41166
BasFirst,1//2,1,15.0,8.34034,13.07135
BasFirst,1//2,1,16.0,8.36147,13.54568
BasFirst,1//2,1,17.0,8.3446,14.01489
BasFirst,1//2,1,18.0,8.35568,14.43041
BasFirst,1//2,1,19.0,8.36076,14.81605
BasFirst,1//2,1,20.0,8.3519,15.11114
BasFirst,1//2,1,21.0,8.36297,15.38695
BasFirst,1//2,1,22.0,8.35599,15.62436
BasFirst,1//2,1,23.0,8.34736,15.81589
BasFirst,1//2,1,24.0,8.33183,15.88203
BasFirst,1//2,1,25.0,8.3693,15.9411
BasFirst,1//2,1,26.0,8.34008,15.97376
BasFirst,1//2,1,27.0,8.34495,16.0
BasFirst,1//2,1,28.0,8.33993,16.0
BasFirst,1//3,1,0.0,4.48455,0.9162
BasFirst,1//3,1,1.0,13.02702,4.16051
BasFirst,1//3,1,2.0,13.19386,4.71105
BasFirst,1//3,1,3.0,13.41733,5.032
BasFirst,1//3,1,4.0,13.5164,5.11989
BasFirst,1//3,1,5.0,13.96628,5.3777
BasFirst,1//3,1,6.0,14.32998,5.59417
BasFirst,1//3,1,7.0,14.37977,5.67132
BasFirst,1//3,1,8.0,14.73194,5.90414
BasFirst,1//3,1,9.0,14.90336,6.0945
BasFirst,1//3,1,10.0,14.88411,6.13446
