model,factor,mult,threshold,reward,clicks
BestFirst,1//2,1,0.0,2.07508,0.92494
BestFirst,1//2,1,1.0,6.69717,4.40492
BestFirst,1//2,1,2.0,6.98695,5.07699
BestFirst,1//2,1,3.0,7.18428,5.58822
BestFirst,1//2,1,4.0,7.41558,5.92657
BestFirst,1//2,1,5.0,7.60469,6.35822
BestFirst,1//2,1,6.0,7.83215,6.82082
BestFirst,1//2,1,7.0,7.93999,7.34474
BestFirst,1//2,1,8.0,8.11065,8.08812
BestFirst,1//2,1,9.0,8.21639,8.8736
BestFirst,1//2,1,10.0,8.29804,9.52428
BestFirst,1//2,1,11.0,8.31406,10.23647
BestFirst,1//2,1,12.0,8.31124,11.01004
BestFirst,1//2,1,13.0,8.38333,11.69703
BestFirst,1//2,1,14.0,8.32737,12.40632
BestFirst,1//2,1,15.0,8.35233,13.06524
BestFirst,1//2,1,16.0,8.35381,13.53635
BestFirst,1//2,1,17.0,8.37048,13.99206
BestFirst,1//2,1,18.0,8.35791,14.42257
BestFirst,1//2,1,19.0,8.3572,14.80303
BestFirst,1//2,1,20.0,8.33795,15.11797
BestFirst,1//2,1,21.0,8.34514,15.39514
BestFirst,1//2,1,22.0,8.34543,15.62181
BestFirst,1//2,1,23.0,8.36658,15.81526
BestFirst,1//2,1,24.0,8.35916,15.88337
BestFirst,1//2,1,25.0,8.34964,15.94253
BestFirst,1//2,1,26.0,8.36395,15.97576
BestFirst,1//2,1,27.0,8.34602,16.0
BestFirst,1//2,1,28.0,8.35424,16.0
DepthFirst,1//2,1,0.0,1.58702,0.92771
DepthFirst,1//2,1,1.0,6.22598,6.42752
DepthFirst,1//2,1,2.0,6.76276,7.39688
DepthFirst,1//2,1,3.0,7.18994,8.31092
DepthFirst,1//2,1,4.0,7.39012,8.71478
DepthFirst,1//2,1,5.0,7.60363,9.19217
DepthFirst,1//2,1,6.0,7.81685,9.7553
DepthFirst,1//2,1,7.0,7.96344,10.27617
DepthFirst,1//2,1,8.0,8.11833,11.04417
DepthFirst,1//2,1,9.0,8.2462,11.9114
DepthFirst,1//2,1,10.0,8.27972,12.49534
DepthFirst,1//2,1,11.0,8.32848,13.09782
DepthFirst,1//2,1,12.0,8.35416,13.70414
DepthFirst,1//2,1,13.0,8.34035,14.2773
DepthFirst,1//2,1,14.0,8.35488,14.77738
DepthFirst,1//2,1,15.0,8.35036,15.27333
DepthFirst,1//2,1,16.0,8.35053,15.39535
DepthFirst,1//2,1,17.0,8.34074,15.50819
DepthFirst,1//2,1,18.0,8.36159,15.61111
