model,factor,mult,cost,reward,clicks
Optimal,1//3,1,0.0,16.37291,13.88128
Optimal,3//1,1,0.0,19.53857,14.74316
Optimal,1//3,1,0.0010000000000000002,16.37544,7.33841
Optimal,3//1,1,0.0010000000000000002,19.53369,10.28673
Optimal,1//3,1,0.001097498765493056,16.40488,7.34085
Optimal,3//1,1,0.001097498765493056,19.56898,10.27138
Optimal,1//3,1,0.0012045035402587826,16.36036,7.34104
Optimal,3//1,1,0.0012045035402587826,19.54743,10.28235
Optimal,1//3,1,0.001321941148466029,16.41268,7.33471
Optimal,3//1,1,0.001321941148466029,19.51287,10.30051
Optimal,1//3,1,0.0014508287784959406,16.41255,7.34719
Optimal,3//1,1,0.0014508287784959406,19.56122,10.28328
Optimal,1//3,1,0.001592282793341093,16.34357,7.34504
Optimal,3//1,1,0.001592282793341093,19.52214,10.30252
Optimal,1//3,1,0.0017475284000076838,16.39986,7.34794
Optimal,3//1,1,0.0017475284000076838,19.53576,10.29437
Optimal,1//3,1,0.0019179102616724896,16.37305,7.3399
Optimal,3//1,1,0.0019179102616724896,19.51899,10.30832
Optimal,1//3,1,0.0021049041445120207,16.37145,7.3463
Optimal,3//1,1,0.0021049041445120207,19.55006,10.27221
Optimal,1//3,1,0.0023101297000831613,16.40157,7.34591
Optimal,3//1,1,0.0023101297000831613,19.51885,10.30263
Optimal,1//3,1,0.0025353644939701127,16.38714,7.33749
Optimal,3//1,1,0.0025353644939701127,19.49921,10.31072
Optimal,1//3,1,0.002782559402207125,16.39404,7.33972
Optimal,3//1,1,0.002782559402207125,19.5508,10.28054
Optimal,1//3,1,0.003053855508833417,16.41724,7.34763
Optimal,3//1,1,0.003053855508833417,19.53495,10.28979
Optimal,1//3,1,0.003351602650938843,16.3472,7.34696
Optimal,3//1,1,0.003351602650938843,19.53337,10.29017
Optimal,1//3,1,0.0036783797718286364,16.39159,7.3384
Optimal,3//1,1,0.0036783797718286364,19.55124,10.28525
Optimal,1//3,1,0.004037017258596557,16.42574,7.33022
Optimal,3//1,1,0.004037017258596557,19.532,10.29594
Optimal,1//3,1,0.0044306214575838805,16.43118,7.35238
Optimal,3//1,1,0.0044306214575838805,19.5089,10.30458
Optimal,1//3,1,0.004862601580065357,16.41333,7.34014
Optimal,3//1,1,0.004862601580065357,19.51921,10.29338
Optimal,1//3,1,0.005336699231206311,16.40358,7.34121
Optimal,3//1,1,0.005336699231206311,19.52845,10.28515
Optimal,1//3,1,0.005857020818056667,16.33866,7.33728
Optimal,3//1,1,0.005857020818056667,19.55078,10.2764
Optimal,1//3,1,0.006428073117284324,16.38287,7.33766
Optimal,3//1,1,0.006428073117284324,19.55181,10.28174
Optimal,1//3,1,0.007054802310718644,16.35914,7.35222
Optimal,3//1,1,0.007054802310718644,19.52695,10.2914
Optimal,1//3,1,0.007742636826811269,16.39959,7.34766
Optimal,3//1,1,0.007742636826811269,19.52439,10.28984
Optimal,1//3,1,0.008497534359086446,16.40292,7.33582
Optimal,3//1,1,0.008497534359086446,19.52026,10.29487
Optimal,1//3,1,0.009326033468832207,16.33889,7.34497
Optimal,3//1,1,0.009326033468832207,19.53122,10.29687
Optimal,1//3,1,0.010235310218990268,16.3992,7.34991
Optimal,3//1,1,0.010235310218990268,19.50417,10.29806
Optimal,1//3,1,0.011233240329780278,16.38821,7.33714
Optimal,3//1,1,0.011233240329780278,19.52596,10.28749
Optimal,1//3,1,0.01232846739442067,16.41366,7.35139
Optimal,3//1,1,0.01232846739442067,19.54102,10.27758
Optimal,1//3,1,0.013530477745798075,16.39656,7.33599
Optimal,3//1,1,0.013530477745798075,19.52335,10.30039
Optimal,1//3,1,0.014849682622544652,16.37218,7.33986
Optimal,3//1,1,0.014849682622544652,19.52146,10.30352
Optimal,1//3,1,0.01629750834620645,16.4229,7.33463
Optimal,3//1,1,0.01629750834620645,19.51234,10.29762
Optimal,1//3,1,0.01788649529057437,16.39335,7.34916
Optimal,3//1,1,0.01788649529057437,19.5093,10.30609
Optimal,1//3,1,0.019630406500402726,16.42994,7.33914
Optimal,3//1,1,0.019630406500402726,19.52271,10.2896
Optimal,1//3,1,0.02154434690031885,16.41312,7.19676
Optimal,3//1,1,0.02154434690031885,19.53199,10.2957
Optimal,1//3,1,0.02364489412645409,16.37137,7.19896
Optimal,3//1,1,0.02364489412645409,19.53047,10.29742
Optimal,1//3,1,0.02595024211399738,16.37583,7.20719
Optimal,3//1,1,0.02595024211399738,19.53535,10.29417
Optimal,1//3,1,0.02848035868435804,16.37492,7.19705
Optimal,3//1,1,0.02848035868435804,19.54687,10.1267
Optimal,1//3,1,0.03125715849688239,16.37204,7.19519
Optimal,3//1,1,0.03125715849688239,19.51433,10.15832
Optimal,1//3,1,0.03430469286314919,16.34015,7.19453
Optimal,3//1,1,0.03430469286314919,19.53477,10.13446
Optimal,1//3,1,0.03764935806792469,16.38476,7.19997
Optimal,3//1,1,0.03764935806792469,19.54738,10.13039
Optimal,1//3,1,0.04132012400115338,16.37238,7.19009
Optimal,3//1,1,0.04132012400115338,19.53224,10.1412
Optimal,1//3,1,0.04534878508128584,16.37561,7.18971
Optimal,3//1,1,0.04534878508128584,19.55375,10.1172
Optimal,1//3,1,0.049770235643321135,16.36102,7.19644
Optimal,3//1,1,0.049770235643321135,19.51261,10.14284
Optimal,1//3,1,0.05462277217684345,16.3695,7.19507
