model,factor,mult,cost,beta,reward,clicks
Optimal,1//2,1,0.0010000000000000002,0.10000000000000002,5.46123,5.47077
Optimal,1//2,1,0.0010000000000000002,0.21544346900318845,6.30777,6.86575
Optimal,1//2,1,0.0010000000000000002,0.464158883361278,7.20422,8.85307
Optimal,1//2,1,0.0010000000000000002,1.0,7.83625,10.94539
Optimal,1//2,1,0.0010000000000000002,2.154434690031884,8.16023,12.55053
Optimal,1//2,1,0.0010000000000000002,4.641588833612779,8.30039,13.37891
Optimal,1//2,1,0.0010000000000000002,9.999999999999998,8.33067,13.77469
Optimal,1//2,1,0.0010000000000000002,21.544346900318835,8.32343,13.8995
Optimal,1//2,1,0.0010000000000000002,46.415888336127786,8.35617,13.89237
Optimal,1//2,1,0.0010000000000000002,100.00000000000004,8.34768,13.8143
Optimal,1//3,1,0.0010000000000000002,0.10000000000000002,12.88312,6.28839
Optimal,1//3,1,0.0010000000000000002,0.21544346900318845,14.47349,7.79939
Optimal,1//3,1,0.0010000000000000002,0.464158883361278,15.43554,9.4767
Optimal,1//3,1,0.0010000000000000002,1.0,15.88848,11.23221
Optimal,1//3,1,0.0010000000000000002,2.154434690031884,16.24139,12.60818
Optimal,1//3,1,0.0010000000000000002,4.641588833612779,16.37818,13.34244
Optimal,1//3,1,0.0010000000000000002,9.999999999999998,16.42069,13.69395
Optimal,1//3,1,0.0010000000000000002,21.544346900318835,16.36758,13.79859
Optimal,1//3,1,0.0010000000000000002,46.415888336127786,16.38977,13.78611
Optimal,1//3,1,0.0010000000000000002,100.00000000000004,16.37052,13.68761
Optimal,2//1,1,0.0010000000000000002,0.10000000000000002,4.75612,6.66274
Optimal,2//1,1,0.0010000000000000002,0.21544346900318845,6.62387,9.13074
Optimal,2//1,1,0.0010000000000000002,0.464158883361278,8.48258,11.69238
Optimal,2//1,1,0.0010000000000000002,1.0,9.22585,12.9853
Optimal,2//1,1,0.0010000000000000002,2.154434690031884,9.47266,13.72128
Optimal,2//1,1,0.0010000000000000002,4.641588833612779,9.55537,14.16206
Optimal,2//1,1,0.0010000000000000002,9.999999999999998,9.60516,14.42127
