wid,model,fold,train_nll,test_nll,cost,β,ε
w09ef317,Optimal,1,84.22848373460671,17.099296849282972,0.44300785,49.99999999999716,0.3598644181850719
w09ef317,Optimal,2,79.95669635960104,21.50172291956904,0.62149019,40.13883878395226,0.38714394536871094
w09ef317,Optimal,3,78.85144240154477,27.203677046507224,2.85126206,0.8534529794640758,7.343408499448789e-20
w09ef317,Optimal,4,82.00053454150326,19.835350269298164,1.22315077,49.99999999999999,0.40785137972336943
w09ef317,Optimal,5,75.53057549881852,26.18548506382826,0.31578287,49.99999999999939,0.4808804847080239
w0c47aeb,Optimal,1,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w0c47aeb,Optimal,2,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w0c47aeb,Optimal,3,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w0c47aeb,Optimal,4,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w0c47aeb,Optimal,5,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w1709267,Optimal,1,206.23071365284395,50.49309126885726,0.52471424,3.745325261947807,8.285589199007374e-25
w1709267,Optimal,2,207.88049651554908,49.501046140710194,0.37402445,49.99999999999927,0.36867485928307325
w1709267,Optimal,3,203.63817347951064,53.50195403430244,0.37402445,34.96842925049792,0.33176773387027203
w1709267,Optimal,4,196.60281309212314,60.19697503180642,0.52471424,3.925927286737601,3.471865297684825e-22
w1709267,Optimal,5,210.3579054236058,46.36500684815611,0.52471424,3.7646015556872965,5.008310953724637e-22
w1bbb0ad,Optimal,1,111.9803990775639,27.07396815699069,0.52471424,19.54352754939539,0.07344678779760973
w1bbb0ad,Optimal,2,116.43948980457154,22.900113697878925,0.62149019,14.237503599594117,0.12502649870320565
w1bbb0ad,Optimal,3,112.85142791468897,25.96547934524008,0.52471424,18.333058431054635,0.11362881516692253
w1bbb0ad,Optimal,4,109.83957008137799,28.88418877668142,0.52471424,20.919685946536525,0.09560791085662305
w1bbb0ad,Optimal,5,102.73071145816037,36.069506590423266,0.52471424,21.578026931176982,0.09144066599215364
w20c5bf9,Optimal,1,108.999357974413,33.900283955980235,2.03242383,3.9405362999759115,0.3330879476923134
w20c5bf9,Optimal,2,118.24739073681174,24.698674306759433,2.03242383,3.5118733114257297,0.3321799815755734
w20c5bf9,Optimal,3,116.90755506685198,25.99642248852461,2.03242383,3.836268778112842,0.32597717098609347
w20c5bf9,Optimal,4,115.0565194371855,27.94472777253852,2.03242383,4.513077536165655,0.366812162782696
w20c5bf9,Optimal,5,112.2278349415969,30.671336842601338,2.03242383,3.765916330559485,0.330144877332604
w230c19e,Optimal,1,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w230c19e,Optimal,2,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w230c19e,Optimal,3,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w230c19e,Optimal,4,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
w230c19e,Optimal,5,-0.0,-0.0,100.0,25.000001551055465,8.720826669530154e-19
