reward,clicks,cost
16.83679,6.827117,1.0
16.852905,6.82509,1.03
16.77373,6.766542,1.06
16.5547,6.576996,1.09
16.560265,6.570589,1.12
16.42915,6.457424,1.15
16.430915,6.453895,1.18
16.405505,6.450949,1.21
16.405455,6.436867,1.24
15.871535,5.99946,1.27
15.611435,5.803286,1.3
15.297985,5.550573,1.33
15.28925,5.557219,1.36
15.25555,5.543839,1.39
15.265025,5.539203,1.42
15.24685,5.535593,1.45
15.2501,5.536242,1.48
15.250995,5.528478,1.51
15.240015,5.527265,1.54
15.241495,5.522776,1.57
15.21795,5.505668,1.6
15.197355,5.490814,1.63
15.154595,5.472385,1.66
15.129715,5.448697,1.69
15.031595,5.397961,1.72
14.975315,5.358854,1.75
14.951605,5.365191,1.78
14.858295,5.298829,1.81
14.84825,5.288445,1.84
14.84556,5.28983,1.87
14.822825,5.286413,1.9
14.74927,5.247518,1.93
14.674145,5.202418,1.96
14.539815,5.134057,1.99
14.518545,5.131588,2.02
14.43211,5.087386,2.05
13.902845,4.830439,2.08
13.831425,4.802516,2.11
12.801835,4.316201,2.14
12.653245,4.254301,2.17
10.91008,3.438257,2.2
10.78042,3.380731,2.23
10.75597,3.374801,2.26
10.7053,3.348993,2.29
10.69959,3.353328,2.32
10.4037,3.218405,2.35
10.40483,3.219996,2.38
10.332385,3.193565,2.41
10.26036,3.163591,2.44
9.991575,3.051798,2.47
9.820665,2.985562,2.5
9.5179,2.857477,2.53
9.503305,2.858971,2.56
9.39435,2.813844,2.59
8.442175,2.448342,2.62
8.336675,2.410592,2.65
8.306745,2.399137,2.68
6.561755,1.750925,2.71
6.56453,1.749101,2.74
6.5642,1.750443,2.77
6.566445,1.749926,2.8
6.562965,1.75048,2.83
6.5693,1.747818,2.86
6.563245,1.750345,2.89
6.56323,1.749708,2.92
6.5612,1.749294,2.95
6.56752,1.749478,2.98
6.557635,1.750999,3.01
6.55613,1.749507,3.04
6.5561,1.750685,3.07
6.56375,1.750085,3.1
6.56244,1.749777,3.13
6.566005,1.749829,3.16
6.56298,1.74971,3.19
6.55971,1.749071,3.22
6.56709,1.749185,3.25
6.56919,1.749717,3.28
6.56441,1.75061,3.31
6.56601,1.748858,3.34
6.56247,1.748715,3.37
6.564965,1.75039,3.4
6.559315,1.751245,3.43
6.56777,1.750394,3.46
6.55878,1.749456,3.49
6.559315,1.749576,3.52
6.57546,1.748476,3.55
6.56213,1.750245,3.58
6.56148,1.750186,3.61
6.563725,1.748838,3.64
6.56641,1.748939,3.67
6.56536,1.749331,3.7
6.559665,1.750454,3.73
0.0,0.0,3.76
0.0,0.0,3.79
0.0,0.0,3.82
0.0,0.0,3.85
0.0,0.0,3.88
0.0,0.0,3.91
0.0,0.0,3.94
0.0,0.0,3.97
0.0,0.0,4.0
